DateTime,PV,Grid,Load,LoadRaw,GridRaw,LoadEqRaw
15-05-2020 00:00,0,258150,258150,1721,258150,258150
15-05-2020 00:15,0,266850,266850,1779,266850,266850
15-05-2020 00:30,0,335550,335550,2237,335550,335550
15-05-2020 00:45,0,284700,284700,1898,284700,284700
15-05-2020 01:00,0,259050,259050,1727,259050,259050
15-05-2020 01:15,0,275700,275700,1838,275700,275700
15-05-2020 01:30,0,258750,258750,1725,258750,258750
15-05-2020 01:45,0,282750,282750,1885,282750,282750
15-05-2020 02:00,0,266400,266400,1776,266400,266400
15-05-2020 02:15,0,285450,285450,1903,285450,285450
15-05-2020 02:30,0,324000,324000,2160,324000,324000
15-05-2020 02:45,0,274650,274650,1831,274650,274650
15-05-2020 03:00,0,256950,256950,1713,256950,256950
15-05-2020 03:15,0,321750,321750,2145,321750,321750
15-05-2020 03:30,0,266850,266850,1779,266850,266850
15-05-2020 03:45,0,267000,267000,1780,267000,267000
15-05-2020 04:00,0,256650,256650,1711,256650,256650
15-05-2020 04:15,0,258300,258300,1722,258300,258300
15-05-2020 04:30,0,323700,323700,2158,323700,323700
15-05-2020 04:45,0,267900,267900,1786,267900,267900
15-05-2020 05:00,0,267600,267600,1784,267600,267600
15-05-2020 05:15,0,181950,181950,1213,181950,181950
15-05-2020 05:30,0,144000,144000,960,144000,144000
15-05-2020 05:45,0,150600,150600,1004,150600,150600
15-05-2020 06:00,942.1488095,159407.8512,160350,1069,159407.8512,160350
15-05-2020 06:15,6142.10119,221707.8988,227850,1519,221707.8988,227850
15-05-2020 06:30,15271.15476,208678.8452,223950,1493,208678.8452,223950
15-05-2020 06:45,28626.58929,184373.4107,213000,1420,184373.4107,213000
15-05-2020 07:00,41345.91429,145254.0857,186600,1244,145254.0857,186600
15-05-2020 07:15,44564.20833,163335.7917,207900,1386,163335.7917,207900
15-05-2020 07:30,43619.29167,269430.7083,313050,2087,269430.7083,313050
15-05-2020 07:45,44395.89286,198004.1071,242400,1616,198004.1071,242400
15-05-2020 08:00,64834.80357,371365.1964,436200,2908,371365.1964,436200
15-05-2020 08:15,101937.1571,391562.8429,493500,3290,391562.8429,493500
15-05-2020 08:30,112129.5655,455770.4345,567900,3786,455770.4345,567900
15-05-2020 08:45,92505.46429,693344.5357,785850,5239,693344.5357,785850
15-05-2020 09:00,165598.8929,620251.1071,785850,5239,620251.1071,785850
15-05-2020 09:15,98826.01786,498923.9821,597750,3985,498923.9821,597750
15-05-2020 09:30,76522.25,568027.75,644550,4297,568027.75,644550
15-05-2020 09:45,161370.0357,681779.9643,843150,5621,681779.9643,843150
15-05-2020 10:00,183026.2143,678873.7857,861900,5746,678873.7857,861900
15-05-2020 10:15,158716.5536,614383.4464,773100,5154,614383.4464,773100
15-05-2020 10:30,129103.6357,753496.3643,882600,5884,753496.3643,882600
15-05-2020 10:45,113123.1429,701526.8571,814650,5431,701526.8571,814650
15-05-2020 11:00,193768.0357,388081.9643,581850,3879,388081.9643,581850
15-05-2020 11:15,160301.2262,485148.7738,645450,4303,485148.7738,645450
15-05-2020 11:30,155409.1607,596240.8393,751650,5011,596240.8393,751650
15-05-2020 11:45,167668.1964,539281.8036,706950,4713,539281.8036,706950
15-05-2020 12:00,155821.6964,588628.3036,744450,4963,588628.3036,744450
15-05-2020 12:15,209569.3988,407830.6012,617400,4116,407830.6012,617400
15-05-2020 12:30,197884.5,709465.5,907350,6049,709465.5,907350
15-05-2020 12:45,209419.2381,550930.7619,760350,5069,550930.7619,760350
15-05-2020 13:00,129842.3571,507657.6429,637500,4250,507657.6429,637500
15-05-2020 13:15,149740.5536,407659.4464,557400,3716,407659.4464,557400
15-05-2020 13:30,175573.4643,637876.5357,813450,5423,637876.5357,813450
15-05-2020 13:45,170970.5893,595979.4107,766950,5113,595979.4107,766950
15-05-2020 14:00,222438.7143,517061.2857,739500,4930,517061.2857,739500
15-05-2020 14:15,259813.2857,491536.7143,751350,5009,491536.7143,751350
15-05-2020 14:30,142901.9321,691098.0679,834000,5560,691098.0679,834000
15-05-2020 14:45,160715.5298,661284.4702,822000,5480,661284.4702,822000
15-05-2020 15:00,128604.375,614795.625,743400,4956,614795.625,743400
15-05-2020 15:15,143255.1429,598194.8571,741450,4943,598194.8571,741450
15-05-2020 15:30,166946.3214,551253.6786,718200,4788,551253.6786,718200
15-05-2020 15:45,107547.1607,643502.8393,751050,5007,643502.8393,751050
15-05-2020 16:00,109120.6786,678529.3214,787650,5251,678529.3214,787650
15-05-2020 16:15,99493.01786,518056.9821,617550,4117,518056.9821,617550
15-05-2020 16:30,104079.6071,407720.3929,511800,3412,407720.3929,511800
15-05-2020 16:45,77777.19643,479022.8036,556800,3712,479022.8036,556800
15-05-2020 17:00,49913.76786,229986.2321,279900,1866,229986.2321,279900
15-05-2020 17:15,49718.66072,320181.3393,369900,2466,320181.3393,369900
15-05-2020 17:30,26248.83333,361651.1667,387900,2586,361651.1667,387900
15-05-2020 17:45,11391.25,324458.75,335850,2239,324458.75,335850
15-05-2020 18:00,6505,320045,326550,2177,320045,326550
15-05-2020 18:15,2199.217857,325700.7821,327900,2186,325700.7821,327900
15-05-2020 18:30,0,273150,273150,1821,273150,273150
15-05-2020 18:45,0,283500,283500,1890,283500,283500
15-05-2020 19:00,0,338250,338250,2255,338250,338250
15-05-2020 19:15,0,283500,283500,1890,283500,283500
15-05-2020 19:30,0,281550,281550,1877,281550,281550
15-05-2020 19:45,0,327000,327000,2180,327000,327000
15-05-2020 20:00,0,272700,272700,1818,272700,272700
15-05-2020 20:15,0,287250,287250,1915,287250,287250
15-05-2020 20:30,0,286050,286050,1907,286050,286050
15-05-2020 20:45,0,286800,286800,1912,286800,286800
15-05-2020 21:00,0,381150,381150,2541,381150,381150
15-05-2020 21:15,0,349950,349950,2333,349950,349950
15-05-2020 21:30,0,278550,278550,1857,278550,278550
15-05-2020 21:45,0,355500,355500,2370,355500,355500
15-05-2020 22:00,0,286650,286650,1911,286650,286650
15-05-2020 22:15,0,286050,286050,1907,286050,286050
15-05-2020 22:30,0,327000,327000,2180,327000,327000
15-05-2020 22:45,0,288150,288150,1921,288150,288150
15-05-2020 23:00,0,271650,271650,1811,271650,271650
15-05-2020 23:15,0,301050,301050,2007,301050,301050
15-05-2020 23:30,0,280350,280350,1869,280350,280350
15-05-2020 23:45,0,295800,295800,1972,295800,295800
16-05-2020 00:00,0,270000,270000,1800,270000,270000
16-05-2020 00:15,0,278700,278700,1858,278700,278700
16-05-2020 00:30,0,261750,261750,1745,261750,261750
16-05-2020 00:45,0,289500,289500,1930,289500,289500
16-05-2020 01:00,0,327300,327300,2182,327300,327300
16-05-2020 01:15,0,290550,290550,1937,290550,290550
16-05-2020 01:30,0,263100,263100,1754,263100,263100
16-05-2020 01:45,0,278100,278100,1854,278100,278100
16-05-2020 02:00,0,262050,262050,1747,262050,262050
16-05-2020 02:15,0,288750,288750,1925,288750,288750
16-05-2020 02:30,0,271950,271950,1813,271950,271950
16-05-2020 02:45,0,270450,270450,1803,270450,270450
16-05-2020 03:00,0,261900,261900,1746,261900,261900
16-05-2020 03:15,0,277350,277350,1849,277350,277350
16-05-2020 03:30,0,261900,261900,1746,261900,261900
16-05-2020 03:45,0,288150,288150,1921,288150,288150
16-05-2020 04:00,0,272550,272550,1817,272550,272550
16-05-2020 04:15,0,355950,355950,2373,355950,355950
16-05-2020 04:30,0,262800,262800,1752,262800,262800
16-05-2020 04:45,0,282150,282150,1881,282150,282150
16-05-2020 05:00,0,262650,262650,1751,262650,262650
16-05-2020 05:15,0,271350,271350,1809,271350,271350
16-05-2020 05:30,0,171450,171450,1143,171450,171450
16-05-2020 05:45,0,172950,172950,1153,172950,172950
16-05-2020 06:00,1131.053571,161918.9464,163050,1087,161918.9464,163050
16-05-2020 06:15,7475.339286,153924.6607,161400,1076,153924.6607,161400
16-05-2020 06:30,15531.42857,257468.5714,273000,1820,257468.5714,273000
16-05-2020 06:45,24837.35714,240212.6429,265050,1767,240212.6429,265050
16-05-2020 07:00,34152.96429,173897.0357,208050,1387,173897.0357,208050
16-05-2020 07:15,43348.05357,123451.9464,166800,1112,123451.9464,166800
16-05-2020 07:30,54443.98214,103956.0179,158400,1056,103956.0179,158400
16-05-2020 07:45,75347.57143,80802.42857,156150,1041,80802.42857,156150
16-05-2020 08:00,92338.64286,187861.3571,280200,1868,187861.3571,280200
16-05-2020 08:15,105235.3036,192064.6964,297300,1982,192064.6964,297300
16-05-2020 08:30,130559.5893,35940.41072,166500,1110,35940.41072,166500
16-05-2020 08:45,142487.0179,81162.98214,223650,1491,81162.98214,223650
16-05-2020 09:00,140956.3036,47293.69643,188250,1255,47293.69643,188250
16-05-2020 09:15,127605.1429,44294.85714,171900,1146,44294.85714,171900
16-05-2020 09:30,129779.4107,145770.5893,275550,1837,145770.5893,275550
16-05-2020 09:45,161148.2321,68351.76786,229500,1530,68351.76786,229500
16-05-2020 10:00,161620.1607,88879.83929,250500,1670,88879.83929,250500
16-05-2020 10:15,156988.0357,92761.96429,249750,1665,92761.96429,249750
16-05-2020 10:30,206873.0893,137226.9107,344100,2294,137226.9107,344100
16-05-2020 10:45,183095.4286,150054.5714,333150,2221,150054.5714,333150
16-05-2020 11:00,177344.375,171855.625,349200,2328,171855.625,349200
16-05-2020 11:15,167348.3571,247401.6429,414750,2765,247401.6429,414750
16-05-2020 11:30,157634.875,395115.125,552750,3685,395115.125,552750
16-05-2020 11:45,194969.0179,295680.9821,490650,3271,295680.9821,490650
16-05-2020 12:00,198417.8393,300032.1607,498450,3323,300032.1607,498450
16-05-2020 12:15,164938.3571,333061.6429,498000,3320,333061.6429,498000
16-05-2020 12:30,228677.5536,131622.4464,360300,2402,131622.4464,360300
16-05-2020 12:45,245404.1964,262345.8036,507750,3385,262345.8036,507750
16-05-2020 13:00,191385.5179,305114.4821,496500,3310,305114.4821,496500
16-05-2020 13:15,233783.1786,289716.8214,523500,3490,289716.8214,523500
16-05-2020 13:30,185596.8393,311203.1607,496800,3312,311203.1607,496800
16-05-2020 13:45,155359.8571,254890.1429,410250,2735,254890.1429,410250
16-05-2020 14:00,138304.0179,337945.9821,476250,3175,337945.9821,476250
16-05-2020 14:15,187844.4821,308655.5179,496500,3310,308655.5179,496500
16-05-2020 14:30,163898.1429,335751.8571,499650,3331,335751.8571,499650
16-05-2020 14:45,160488.7321,331361.2679,491850,3279,331361.2679,491850
16-05-2020 15:00,157761.0536,348788.9464,506550,3377,348788.9464,506550
16-05-2020 15:15,130584.2143,338015.7857,468600,3124,338015.7857,468600
16-05-2020 15:30,111366.8929,349283.1071,460650,3071,349283.1071,460650
16-05-2020 15:45,84875.46429,337524.5357,422400,2816,337524.5357,422400
16-05-2020 16:00,74288.82143,371661.1786,445950,2973,371661.1786,445950
16-05-2020 16:15,62692.46428,450457.5357,513150,3421,450457.5357,513150
16-05-2020 16:30,57192.375,470357.625,527550,3517,470357.625,527550
16-05-2020 16:45,48707.75,521592.25,570300,3802,521592.25,570300
16-05-2020 17:00,43256.57143,510393.4286,553650,3691,510393.4286,553650
16-05-2020 17:15,35250.16072,500549.8393,535800,3572,500549.8393,535800
16-05-2020 17:30,25881.78572,514868.2143,540750,3605,514868.2143,540750
16-05-2020 17:45,16533.91071,509816.0893,526350,3509,509816.0893,526350
16-05-2020 18:00,8626.339286,589273.6607,597900,3986,589273.6607,597900
16-05-2020 18:15,2770.267857,561229.7321,564000,3760,561229.7321,564000
16-05-2020 18:30,0,601050,601050,4007,601050,601050
16-05-2020 18:45,0,318600,318600,2124,318600,318600
16-05-2020 19:00,0,334650,334650,2231,334650,334650
16-05-2020 19:15,0,319500,319500,2130,319500,319500
16-05-2020 19:30,0,344400,344400,2296,344400,344400
16-05-2020 19:45,0,330600,330600,2204,330600,330600
16-05-2020 20:00,0,348750,348750,2325,348750,348750
16-05-2020 20:15,0,387750,387750,2585,387750,387750
16-05-2020 20:30,0,338850,338850,2259,338850,338850
16-05-2020 20:45,0,320550,320550,2137,320550,320550
16-05-2020 21:00,0,330150,330150,2201,330150,330150
16-05-2020 21:15,0,321450,321450,2143,321450,321450
16-05-2020 21:30,0,344700,344700,2298,344700,344700
16-05-2020 21:45,0,330600,330600,2204,330600,330600
16-05-2020 22:00,0,315600,315600,2104,315600,315600
16-05-2020 22:15,0,315750,315750,2105,315750,315750
16-05-2020 22:30,0,315450,315450,2103,315450,315450
16-05-2020 22:45,0,325200,325200,2168,325200,325200
16-05-2020 23:00,0,322050,322050,2147,322050,322050
16-05-2020 23:15,0,324300,324300,2162,324300,324300
16-05-2020 23:30,0,387300,387300,2582,387300,387300
16-05-2020 23:45,0,367800,367800,2452,367800,367800
17-05-2020 00:00,0,311400,311400,2076,311400,311400
17-05-2020 00:15,0,304650,304650,2031,304650,304650
17-05-2020 00:30,0,313500,313500,2090,313500,313500
17-05-2020 00:45,0,314100,314100,2094,314100,314100
17-05-2020 01:00,0,381300,381300,2542,381300,381300
17-05-2020 01:15,0,304650,304650,2031,304650,304650
17-05-2020 01:30,0,304350,304350,2029,304350,304350
17-05-2020 01:45,0,305550,305550,2037,305550,305550
17-05-2020 02:00,0,314700,314700,2098,314700,314700
17-05-2020 02:15,0,315150,315150,2101,315150,315150
17-05-2020 02:30,0,314400,314400,2096,314400,314400
17-05-2020 02:45,0,313650,313650,2091,313650,313650
17-05-2020 03:00,0,320250,320250,2135,320250,320250
17-05-2020 03:15,0,302700,302700,2018,302700,302700
17-05-2020 03:30,0,318450,318450,2123,318450,318450
17-05-2020 03:45,0,312000,312000,2080,312000,312000
17-05-2020 04:00,0,371550,371550,2477,371550,371550
17-05-2020 04:15,0,288300,288300,1922,288300,288300
17-05-2020 04:30,0,294750,294750,1965,294750,294750
17-05-2020 04:45,0,276600,276600,1844,276600,276600
17-05-2020 05:00,0,292350,292350,1949,292350,292350
17-05-2020 05:15,0,288600,288600,1924,288600,288600
17-05-2020 05:30,0,224250,224250,1495,224250,224250
17-05-2020 05:45,0,208650,208650,1391,208650,208650
17-05-2020 06:00,33.875,220916.125,220950,1473,220916.125,220950
17-05-2020 06:15,2686.321429,192313.6786,195000,1300,192313.6786,195000
17-05-2020 06:30,9962.357143,239937.6429,249900,1666,239937.6429,249900
17-05-2020 06:45,19398.21429,250901.7857,270300,1802,250901.7857,270300
17-05-2020 07:00,31089.03572,289910.9643,321000,2140,289910.9643,321000
17-05-2020 07:15,54007.76786,241192.2321,295200,1968,241192.2321,295200
17-05-2020 07:30,62683.94643,138016.0536,200700,1338,138016.0536,200700
17-05-2020 07:45,94392.71429,171557.2857,265950,1773,171557.2857,265950
17-05-2020 08:00,111470.2679,199629.7321,311100,2074,199629.7321,311100
17-05-2020 08:15,113588.1786,143661.8214,257250,1715,143661.8214,257250
17-05-2020 08:30,123013.8929,147886.1071,270900,1806,147886.1071,270900
17-05-2020 08:45,164801.1607,78648.83929,243450,1623,78648.83929,243450
17-05-2020 09:00,169528.375,65521.625,235050,1567,65521.625,235050
17-05-2020 09:15,142848.4821,85901.51786,228750,1525,85901.51786,228750
17-05-2020 09:30,183590.8214,246009.1786,429600,2864,246009.1786,429600
17-05-2020 09:45,227299.5893,260950.4107,488250,3255,260950.4107,488250
17-05-2020 10:00,216354.1607,168095.8393,384450,2563,168095.8393,384450
17-05-2020 10:15,213328.3571,139021.6429,352350,2349,139021.6429,352350
17-05-2020 10:30,225160.4464,205339.5536,430500,2870,205339.5536,430500
17-05-2020 10:45,252507.3214,427442.6786,679950,4533,427442.6786,679950
17-05-2020 11:00,243104.7857,281445.2143,524550,3497,281445.2143,524550
17-05-2020 11:15,277243.9464,254656.0536,531900,3546,254656.0536,531900
17-05-2020 11:30,268838.8214,268461.1786,537300,3582,268461.1786,537300
17-05-2020 11:45,236420.6607,690579.3393,927000,6180,690579.3393,927000
17-05-2020 12:00,179601.3393,963098.6607,1142700,7618,963098.6607,1142700
17-05-2020 12:15,232526.0893,912423.9107,1144950,7633,912423.9107,1144950
17-05-2020 12:30,183652.2321,938647.7679,1122300,7482,938647.7679,1122300
17-05-2020 12:45,230469.8571,908780.1429,1139250,7595,908780.1429,1139250
17-05-2020 13:00,129220.8929,986029.1071,1115250,7435,986029.1071,1115250
17-05-2020 13:15,141976.3036,1033723.696,1175700,7838,1033723.696,1175700
17-05-2020 13:30,225256.0893,606643.9107,831900,5546,606643.9107,831900
17-05-2020 13:45,186896.5536,774003.4464,960900,6406,774003.4464,960900
17-05-2020 14:00,195425.2679,699024.7321,894450,5963,699024.7321,894450
17-05-2020 14:15,127088.5714,666411.4286,793500,5290,666411.4286,793500
17-05-2020 14:30,87466.92857,695683.0714,783150,5221,695683.0714,783150
17-05-2020 14:45,209780.7679,507819.2321,717600,4784,507819.2321,717600
17-05-2020 15:00,203799.6607,489050.3393,692850,4619,489050.3393,692850
17-05-2020 15:15,157427.5536,623022.4464,780450,5203,623022.4464,780450
17-05-2020 15:30,174269.9286,515580.0714,689850,4599,515580.0714,689850
17-05-2020 15:45,92518.625,572131.375,664650,4431,572131.375,664650
17-05-2020 16:00,140131.1786,569368.8214,709500,4730,569368.8214,709500
17-05-2020 16:15,102908.5476,387891.4524,490800,3272,387891.4524,490800
17-05-2020 16:30,93120.17857,380579.8214,473700,3158,380579.8214,473700
17-05-2020 16:45,81902.26786,515247.7321,597150,3981,515247.7321,597150
17-05-2020 17:00,44835.80357,425414.1964,470250,3135,425414.1964,470250
17-05-2020 17:15,36720.33929,493379.6607,530100,3534,493379.6607,530100
17-05-2020 17:30,30144.78572,523955.2143,554100,3694,523955.2143,554100
17-05-2020 17:45,19238.32143,603561.6786,622800,4152,603561.6786,622800
17-05-2020 18:00,6983.267857,547116.7321,554100,3694,547116.7321,554100
17-05-2020 18:15,2879.696429,629670.3036,632550,4217,629670.3036,632550
17-05-2020 18:30,0,570600,570600,3804,570600,570600
17-05-2020 18:45,0,576600,576600,3844,576600,576600
17-05-2020 19:00,0,565500,565500,3770,565500,565500
17-05-2020 19:15,0,304650,304650,2031,304650,304650
17-05-2020 19:30,0,373800,373800,2492,373800,373800
17-05-2020 19:45,0,338250,338250,2255,338250,338250
17-05-2020 20:00,0,344550,344550,2297,344550,344550
17-05-2020 20:15,0,344400,344400,2296,344400,344400
17-05-2020 20:30,0,334800,334800,2232,334800,334800
17-05-2020 20:45,0,419250,419250,2795,419250,419250
17-05-2020 21:00,0,268350,268350,1789,268350,268350
17-05-2020 21:15,0,277950,277950,1853,277950,277950
17-05-2020 21:30,0,278550,278550,1857,278550,278550
17-05-2020 21:45,0,277950,277950,1853,277950,277950
17-05-2020 22:00,0,278400,278400,1856,278400,278400
17-05-2020 22:15,0,262200,262200,1748,262200,262200
17-05-2020 22:30,0,263700,263700,1758,263700,263700
17-05-2020 22:45,0,263400,263400,1756,263400,263400
17-05-2020 23:00,0,271350,271350,1809,271350,271350
17-05-2020 23:15,0,272550,272550,1817,272550,272550
17-05-2020 23:30,0,272550,272550,1817,272550,272550
17-05-2020 23:45,0,262350,262350,1749,262350,262350
18-05-2020 00:00,0,328500,328500,2190,328500,328500
18-05-2020 00:15,0,422550,422550,2817,422550,422550
18-05-2020 00:30,0,402000,402000,2680,402000,402000
18-05-2020 00:45,0,400050,400050,2667,400050,400050
18-05-2020 01:00,0,378750,378750,2525,378750,378750
18-05-2020 01:15,0,399000,399000,2660,399000,399000
18-05-2020 01:30,0,360600,360600,2404,360600,360600
18-05-2020 01:45,0,429600,429600,2864,429600,429600
18-05-2020 02:00,0,386400,386400,2576,386400,386400
18-05-2020 02:15,0,271050,271050,1807,271050,271050
18-05-2020 02:30,0,326700,326700,2178,326700,326700
18-05-2020 02:45,0,273750,273750,1825,273750,273750
18-05-2020 03:00,0,265800,265800,1772,265800,265800
18-05-2020 03:15,0,321300,321300,2142,321300,321300
18-05-2020 03:30,0,322050,322050,2147,322050,322050
18-05-2020 03:45,0,276000,276000,1840,276000,276000
18-05-2020 04:00,0,273150,273150,1821,273150,273150
18-05-2020 04:15,0,271050,271050,1807,271050,271050
18-05-2020 04:30,0,261750,261750,1745,261750,261750
18-05-2020 04:45,0,253200,253200,1688,253200,253200
18-05-2020 05:00,0,252300,252300,1682,252300,252300
18-05-2020 05:15,0,163500,163500,1090,163500,163500
18-05-2020 05:30,0,156600,156600,1044,156600,156600
18-05-2020 05:45,0,160500,160500,1070,160500,160500
18-05-2020 06:00,1591.410714,152008.5893,153600,1024,152008.5893,153600
18-05-2020 06:15,8430.196429,141119.8036,149550,997,141119.8036,149550
18-05-2020 06:30,16432.30357,192517.6964,208950,1393,192517.6964,208950
18-05-2020 06:45,25202.51786,198147.4821,223350,1489,198147.4821,223350
18-05-2020 07:00,37087.48214,140512.5179,177600,1184,140512.5179,177600
18-05-2020 07:15,58659.57143,329240.4286,387900,2586,329240.4286,387900
18-05-2020 07:30,75916.125,397783.875,473700,3158,397783.875,473700
18-05-2020 07:45,39010.08929,367639.9107,406650,2711,367639.9107,406650
18-05-2020 08:00,27942.71429,473807.2857,501750,3345,473807.2857,501750
18-05-2020 08:15,30378.55357,504521.4464,534900,3566,504521.4464,534900
18-05-2020 08:30,40084.67857,573415.3214,613500,4090,573415.3214,613500
18-05-2020 08:45,42335.14286,575214.8571,617550,4117,575214.8571,617550
18-05-2020 09:00,38993.05357,620256.9464,659250,4395,620256.9464,659250
